Name,Team,playerid
Sean Manaea,OAK,15873
Daniel Camarena,SDP,14467
Tommy Hunter,NYM,1157
Sean Reid-Foley,NYM,17034
Trevor Richards,- - -,19309
Mario Feliciano,MIL,20263
Jakson Reetz,WSN,17837
Garrett Cleavinger,LAD,17897
Robinson Chirinos,CHC,3142
Deven Marrero,MIA,13325
Austin Voth,WSN,15047
Andrew Heaney,LAA,15423
Dylan Cease,CHW,18525
Adalberto Mondesi,KCR,13769
Byron Buxton,MIN,14161
Huascar Ynoa,ATL,20468
Rodolfo Castro,PIT,21987
Mike Trout,LAA,10155
Vladimir Guerrero Jr.,TOR,19611
Lance Lynn,CHW,2520
Elieser Hernandez,MIA,16933
Justus Sheffield,SEA,17285
Jordan Yamamoto,NYM,17585
Triston McKenzie,CLE,18000
Phil Bickford,- - -,18519
Cal Quantrill,CLE,19312
Garrett Whitlock,BOS,20191
Drew Rasmussen,- - -,25385
J.D. Davis,NYM,16219
Chris Owings,COL,10030
Estevan Florial,NYY,19151
Shohei Ohtani,LAA,19755
Andy Young,ARI,19521
Breyvic Valera,TOR,12758
Jake Faria,ARI,13699
Ali Sanchez,STL,18551
Justin Dunn,SEA,19268
Kyle Wright,ATL,19665
Fernando Tatis Jr.,SDP,19709
Luis Gonzalez,CHW,20332
Ketel Marte,ARI,13613
Max Muncy,LAD,13301
Ronald Acuna Jr.,ATL,18401
Buster Posey,SFG,9166
Nick Castellanos,CIN,11737
Darin Ruf,SFG,9929
Matt Olson,OAK,14344
Thairo Estrada,SFG,16426
Bryan Reynolds,PIT,19326
Jesse Winker,CIN,13590
Juan Soto,WSN,20123
Ivan Castillo,SDP,15971
Greg Allen,NYY,16623
Max Stassi,LAA,10059
J.D. Martinez,BOS,6184
LaMonte Wade Jr.,SFG,18126
Cedric Mullins II,BAL,17929
Rafael Devers,BOS,17350
Bryce Harper,PHI,11579
Andy Burns,LAD,12779
Justin Turner,LAD,5235
John Hicks,TEX,12547
Mitch Garver,MIN,15161
Aaron Judge,NYY,15640
Freddie Freeman,ATL,5361
Aristides Aquino,CIN,15482
Brandon Nimmo,NYM,12927
Kyle Schwarber,WSN,16478
Brandon Crawford,SFG,5343
Evan Longoria,SFG,9368
Trea Turner,WSN,16252
Nelson Cruz,- - -,2434
Xander Bogaerts,BOS,12161
Chris Taylor,LAD,13757
Matt Vierling,PHI,21558
Michael Brantley,HOU,4106
Patrick Wisdom,CHC,13602
Brandon Belt,SFG,10264
Jake Fraley,SEA,19260
Mookie Betts,LAD,13611
Patrick Kivlehan,SDP,13910
Joey Gallo,TEX,14128
Rob Refsnyder,MIN,13770
Starling Marte,MIA,9241
Adam Engel,CHW,15082
Joey Votto,CIN,4314
Marcus Semien,TOR,12533
Franmil Reyes,CLE,14566
Garrett Cooper,MIA,15279
Austin Riley,ATL,18360
Yordan Alvarez,HOU,19556
Kris Bryant,CHC,15429
Jonathan India,CIN,21523
Carson Kelly,ARI,13620
Adam Frazier,PIT,15223
Yasmani Grandal,CHW,11368
Tyler O'Neill,STL,15711
Travis Jankowski,PHI,13768
Will Smith,LAD,19197
Mark Canha,OAK,11445
Ji-Man Choi,TBR,5452
Carlos Correa,HOU,14162
Yuli Gurriel,HOU,19198
A.J. Pollock,LAD,9256
Jose Altuve,HOU,5417
Harrison Bader,STL,18030
Steven Duggar,SFG,17719
Teoscar Hernandez,TOR,13066
Yoan Moncada,CHW,17232
Josh Donaldson,MIN,5038
George Springer,TOR,12856
Manny Machado,SDP,11493
Bo Bichette,TOR,19612
C.J. Cron,COL,12546
Pete Alonso,NYM,19251
Jose Ramirez,CLE,13510
